11
epoch [246/500], loss:0.9139 Accuracy: 34135/50000
epoch [247/500], loss:0.9137 Accuracy: 34033/50000
epoch [248/500], loss:0.9120 Accuracy: 34129/50000
epoch [249/500], loss:0.9119 Accuracy: 34135/50000
epoch [250/500], loss:0.9115 Accuracy: 34090/50000
epoch [251/500], loss:0.9098 Accuracy: 34120/50000
epoch [252/500], loss:0.9101 Accuracy: 34171/50000
epoch [253/500], loss:0.9090 Accuracy: 34141/50000
epoch [254/500], loss:0.9093 Accuracy: 34163/50000
epoch [255/500], loss:0.9090 Accuracy: 34136/50000
epoch [256/500], loss:0.9081 Accuracy: 34179/50000
epoch [257/500], loss:0.9079 Accuracy: 34180/50000
epoch [258/500], loss:0.9067 Accuracy: 34169/50000
epoch [259/500], loss:0.9073 Accuracy: 34156/50000
epoch [260/500], loss:0.9063 Accuracy: 34144/50000
epoch [261/500], loss:0.9049 Accuracy: 34234/50000
epoch [262/500], loss:0.9050 Accuracy: 34163/50000
epoch [263/500], loss:0.9044 Accuracy: 34261/50000
epoch [264/500], loss:0.9044 Accuracy: 34236/50000
epoch [265/500], loss:0.9028 Accuracy: 34266/50000
epoch [266/500], loss:0.9035 Accuracy: 34231/50000
epoch [267/500], loss:0.9034 Accuracy: 34222/50000
epoch [268/500], loss:0.9024 Accuracy: 34219/50000
epoch [269/500], loss:0.9017 Accuracy: 34299/50000
epoch [270/500], loss:0.9013 Accuracy: 34305/50000
epoch [271/500], loss:0.9011 Accuracy: 34247/50000
epoch [272/500], loss:0.9005 Accuracy: 34301/50000
epoch [273/500], loss:0.8992 Accuracy: 34313/50000
epoch [274/500], loss:0.9004 Accuracy: 34320/50000
epoch [275/500], loss:0.8988 Accuracy: 34278/50000
epoch [276/500], loss:0.8981 Accuracy: 34298/50000
epoch [277/500], loss:0.8967 Accuracy: 34436/50000
epoch [278/500], loss:0.8975 Accuracy: 34330/50000
epoch [279/500], loss:0.8969 Accuracy: 34328/50000
epoch [280/500], loss:0.8960 Accuracy: 34353/50000
epoch [281/500], loss:0.8957 Accuracy: 34350/50000
epoch [282/500], loss:0.8956 Accuracy: 34338/50000
epoch [283/500], loss:0.8970 Accuracy: 34319/50000
epoch [284/500], loss:0.8948 Accuracy: 34388/50000
epoch [285/500], loss:0.8939 Accuracy: 34369/50000
epoch [286/500], loss:0.8937 Accuracy: 34364/50000
epoch [287/500], loss:0.8934 Accuracy: 34445/50000
epoch [288/500], loss:0.8927 Accuracy: 34358/50000
epoch [289/500], loss:0.8935 Accuracy: 34374/50000
epoch [290/500], loss:0.8914 Accuracy: 34498/50000
epoch [291/500], loss:0.8914 Accuracy: 34385/50000
epoch [292/500], loss:0.8906 Accuracy: 34460/50000
epoch [293/500], loss:0.8917 Accuracy: 34399/50000
epoch [294/500], loss:0.8898 Accuracy: 34437/50000
epoch [295/500], loss:0.8909 Accuracy: 34479/50000
epoch [296/500], loss:0.8888 Accuracy: 34444/50000
epoch [297/500], loss:0.8886 Accuracy: 34451/50000
epoch [298/500], loss:0.8884 Accuracy: 34461/50000
epoch [299/500], loss:0.8878 Accuracy: 34526/50000
epoch [300/500], loss:0.8876 Accuracy: 34516/50000
epoch [301/500], loss:0.8867 Accuracy: 34526/50000
epoch [302/500], loss:0.8867 Accuracy: 34537/50000
epoch [303/500], loss:0.8866 Accuracy: 34549/50000
epoch [304/500], loss:0.8873 Accuracy: 34520/50000
epoch [305/500], loss:0.8853 Accuracy: 34572/50000
epoch [306/500], loss:0.8846 Accuracy: 34585/50000
epoch [307/500], loss:0.8852 Accuracy: 34584/50000
epoch [308/500], loss:0.8840 Accuracy: 34563/50000
epoch [309/500], loss:0.8845 Accuracy: 34595/50000
epoch [310/500], loss:0.8828 Accuracy: 34628/50000
epoch [311/500], loss:0.8824 Accuracy: 34559/50000
epoch [312/500], loss:0.8828 Accuracy: 34598/50000
epoch [313/500], loss:0.8828 Accuracy: 34603/50000
epoch [314/500], loss:0.8820 Accuracy: 34599/50000
epoch [315/500], loss:0.8813 Accuracy: 34588/50000
epoch [316/500], loss:0.8820 Accuracy: 34612/50000
epoch [317/500], loss:0.8812 Accuracy: 34626/50000
epoch [318/500], loss:0.8802 Accuracy: 34682/50000
epoch [319/500], loss:0.8799 Accuracy: 34625/50000
epoch [320/500], loss:0.8797 Accuracy: 34624/50000
epoch [321/500], loss:0.8804 Accuracy: 34669/50000
epoch [322/500], loss:0.8783 Accuracy: 34694/50000
epoch [323/500], loss:0.8786 Accuracy: 34640/50000
epoch [324/500], loss:0.8782 Accuracy: 34679/50000
epoch [325/500], loss:0.8779 Accuracy: 34703/50000
epoch [326/500], loss:0.8771 Accuracy: 34714/50000
epoch [327/500], loss:0.8772 Accuracy: 34751/50000
epoch [328/500], loss:0.8768 Accuracy: 34699/50000
epoch [329/500], loss:0.8763 Accuracy: 34722/50000
epoch [330/500], loss:0.8770 Accuracy: 34632/50000
epoch [331/500], loss:0.8765 Accuracy: 34674/50000
epoch [332/500], loss:0.8751 Accuracy: 34765/50000
epoch [333/500], loss:0.8748 Accuracy: 34749/50000
epoch [334/500], loss:0.8745 Accuracy: 34761/50000
epoch [335/500], loss:0.8747 Accuracy: 34702/50000
epoch [336/500], loss:0.8744 Accuracy: 34717/50000
epoch [337/500], loss:0.8749 Accuracy: 34728/50000
epoch [338/500], loss:0.8728 Accuracy: 34780/50000
epoch [339/500], loss:0.8732 Accuracy: 34713/50000
epoch [340/500], loss:0.8725 Accuracy: 34741/50000
epoch [341/500], loss:0.8723 Accuracy: 34765/50000
epoch [342/500], loss:0.8714 Accuracy: 34759/50000
epoch [343/500], loss:0.8714 Accuracy: 34785/50000
epoch [344/500], loss:0.8722 Accuracy: 34811/50000
epoch [345/500], loss:0.8710 Accuracy: 34750/50000
epoch [346/500], loss:0.8711 Accuracy: 34709/50000
epoch [347/500], loss:0.8710 Accuracy: 34847/50000
